"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 28 12:32:41 GMT 2024","Sun Jan 28 12:32:46 GMT 2024","5001","tests","test_text_box","","","","test_placeholders",""
"failed","Sun Jan 28 12:32:22 GMT 2024","Sun Jan 28 12:32:22 GMT 2024","0","tests","test_student_registration_form","","","","test_fail",""
"passed","Sun Jan 28 12:31:09 GMT 2024","Sun Jan 28 12:31:12 GMT 2024","3682","tests","test_buttons","","","","test_double_click_btn",""
"passed","Sun Jan 28 12:32:22 GMT 2024","Sun Jan 28 12:32:22 GMT 2024","0","tests","test_student_registration_form","","","","test_pass",""
"passed","Sun Jan 28 12:32:15 GMT 2024","Sun Jan 28 12:32:20 GMT 2024","5209","tests","test_student_registration_form","","","","test_first_name_have_placeholder",""
"passed","Sun Jan 28 12:32:57 GMT 2024","Sun Jan 28 12:33:02 GMT 2024","5297","tests","test_text_box","","","","test_login_with_text_box",""
"passed","Sun Jan 28 12:31:22 GMT 2024","Sun Jan 28 12:31:26 GMT 2024","3904","tests","test_buttons","","","","test_right_click_btn",""
"passed","Sun Jan 28 12:31:51 GMT 2024","Sun Jan 28 12:32:01 GMT 2024","10105","tests","test_student_registration_form","","","","test_login_with_student_registration_form",""
"passed","Sun Jan 28 12:31:37 GMT 2024","Sun Jan 28 12:31:40 GMT 2024","3341","tests","test_buttons","","","","test_dynamic_click_btn",""
